Epoch 39: Train MSE=0.001731, Val MSE=0.001636, Train PSNR=28.49 dB, Val PSNR=28.74 dB, Train SSIM=0.6436, Val SSIM=0.6460, Iter Train=211.0, Iter Val=259.0, Time Epoch=1084.88 sec
Epoch 40: Train MSE=0.001740, Val MSE=0.001728, Train PSNR=28.48 dB, Val PSNR=28.43 dB, Train SSIM=0.6432, Val SSIM=0.6421, Iter Train=183.0, Iter Val=150.0, Time Epoch=897.79 sec
Epoch 41: Train MSE=0.001731, Val MSE=0.001722, Train PSNR=28.49 dB, Val PSNR=28.44 dB, Train SSIM=0.6439, Val SSIM=0.6427, Iter Train=231.0, Iter Val=157.0, Time Epoch=1030.70 sec
Epoch 42: Train MSE=0.001752, Val MSE=0.001720, Train PSNR=28.43 dB, Val PSNR=28.45 dB, Train SSIM=0.6432, Val SSIM=0.6423, Iter Train=218.0, Iter Val=151.0, Time Epoch=1005.88 sec
Epoch 43: Train MSE=0.001728, Val MSE=0.001722, Train PSNR=28.48 dB, Val PSNR=28.44 dB, Train SSIM=0.6436, Val SSIM=0.6428, Iter Train=156.0, Iter Val=152.0, Time Epoch=981.02 sec
Epoch 44: Train MSE=0.001742, Val MSE=0.001733, Train PSNR=28.46 dB, Val PSNR=28.41 dB, Train SSIM=0.6439, Val SSIM=0.6428, Iter Train=219.0, Iter Val=155.0, Time Epoch=986.39 sec
Epoch 45: Train MSE=0.001742, Val MSE=0.001729, Train PSNR=28.47 dB, Val PSNR=28.42 dB, Train SSIM=0.6445, Val SSIM=0.6429, Iter Train=181.0, Iter Val=155.0, Time Epoch=1078.15 sec
Epoch 46: Train MSE=0.001755, Val MSE=0.001637, Train PSNR=28.44 dB, Val PSNR=28.74 dB, Train SSIM=0.6433, Val SSIM=0.6460, Iter Train=176.0, Iter Val=235.0, Time Epoch=1006.31 sec
Epoch 47: Train MSE=0.001716, Val MSE=0.001742, Train PSNR=28.52 dB, Val PSNR=28.38 dB, Train SSIM=0.6444, Val SSIM=0.6424, Iter Train=287.0, Iter Val=155.0, Time Epoch=986.12 sec
Epoch 48: Train MSE=0.001739, Val MSE=0.001720, Train PSNR=28.47 dB, Val PSNR=28.45 dB, Train SSIM=0.6446, Val SSIM=0.6433, Iter Train=295.0, Iter Val=167.0, Time Epoch=1110.71 sec
Epoch 49: Train MSE=0.001716, Val MSE=0.001724, Train PSNR=28.52 dB, Val PSNR=28.44 dB, Train SSIM=0.6449, Val SSIM=0.6430, Iter Train=216.0, Iter Val=162.0, Time Epoch=1223.20 sec
Epoch 50: Train MSE=0.001726, Val MSE=0.001722, Train PSNR=28.49 dB, Val PSNR=28.44 dB, Train SSIM=0.6443, Val SSIM=0.6427, Iter Train=213.0, Iter Val=153.0, Time Epoch=1132.42 sec
